No_Struk,Tanggal,Waktu,Kasir,Menu,Kategori,Harga_Satuan,Jumlah,Subtotal,Total_Transaksi,Metode_Pembayaran
-20250101-0001,2025-01-01,18:07:05,valencia,Lasagna,Pasta,25000,4,100000,100000,QRIS
-20250101-0002,2025-01-01,16:57:22,valencia,Kentang Goreng,Camilan,12000,1,12000,12000,QRIS
-20250101-0003,2025-01-01,17:41:01,valencia,Americano,Kopi,12000,4,48000,48000,QRIS
-20250101-0004,2025-01-01,18:18:56,valencia,Lasagna,Pasta,25000,1,25000,25000,QRIS
-20250101-0005,2025-01-01,13:37:34,val,Smoothie Alpukat,Smoothie,16000,3,48000,48000,Tunai
-20250102-0001,2025-01-02,17:25:23,valencia,Espresso,Kopi,10000,2,20000,20000,Debit
-20250102-0002,2025-01-02,13:37:11,valencia,Cheesecake,Dessert,15000,4,60000,60000,Tunai
-20250102-0003,2025-01-02,17:54:37,val,Gelato,Dessert,12000,3,36000,36000,Tunai
-20250102-0004,2025-01-02,19:46:22,valencia,Espresso,Kopi,10000,1,10000,10000,Debit
-20250102-0005,2025-01-02,11:45:18,val,Cheesecake,Dessert,15000,1,15000,15000,QRIS
-20250103-0001,2025-01-03,17:59:39,val,Spagetti,Pasta,20000,1,20000,20000,Debit
-20250103-0002,2025-01-03,12:11:55,val,Mie Goreng,Nasi dan Mie,15000,2,30000,30000,Debit
-20250103-0003,2025-01-03,11:17:11,valencia,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,Tunai
-20250103-0004,2025-01-03,20:54:42,valencia,Spagetti,Pasta,20000,3,60000,60000,QRIS
-20250103-0005,2025-01-03,10:57:13,valencia,Gelato,Dessert,12000,5,60000,60000,Tunai
-20250104-0001,2025-01-04,16:31:10,val,Kentang Goreng,Camilan,12000,4,48000,48000,Tunai
-20250104-0002,2025-01-04,21:03:35,valencia,Latte,Kopi,15000,4,60000,60000,QRIS
-20250104-0003,2025-01-04,09:37:12,val,Kopi Tubruk,Kopi,8000,1,8000,8000,Debit
-20250104-0004,2025-01-04,18:56:37,val,Latte,Kopi,15000,3,45000,45000,Tunai
-20250104-0005,2025-01-04,14:18:35,valencia,Cappucino,Kopi,15000,4,60000,60000,QRIS
-20250105-0001,2025-01-05,13:15:43,valencia,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,QRIS
-20250105-0002,2025-01-05,10:45:16,valencia,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,QRIS
-20250105-0003,2025-01-05,12:21:33,valencia,Lasagna,Pasta,25000,4,100000,100000,Debit
-20250105-0004,2025-01-05,21:10:10,val,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,QRIS
-20250105-0005,2025-01-05,13:39:16,val,Spagetti,Pasta,20000,1,20000,20000,Debit
-20250106-0001,2025-01-06,20:21:27,val,Latte,Kopi,15000,3,45000,45000,Debit
-20250106-0002,2025-01-06,19:29:28,valencia,Smoothie Alpukat,Smoothie,16000,2,32000,32000,QRIS
-20250106-0003,2025-01-06,15:43:42,val,Cheesecake,Dessert,15000,4,60000,60000,QRIS
